HEALTH_PROTOCOL_TYPE_IDENT,ALARM_PROTOCOL_CODE,ALARM_PROTOCOL_IDENT,DESCRIPTION,LOCALIZED_DESCRIPTION,SEVERITY,ACTIVE,NAME,EXPRESSION,SEVERITY_LEVEL,CREATED_TIMESTAMP,CREATED_LOGIN_NAME,LAST_UPDATED_TIMESTAMP,LAST_UPDATED_LOGIN_NAME,ALIAS,MUTE,IGNORE_ALARM_RULE,CAN_MERGE_ALARM,MERGE_ALARM_TIME,HAS_MIN_DURATION,MIN_DURATION,IGNORE_ALARM_RULE_SEVERITIES,CAN_FILTER_VIRTUAL_ALARM,FILTER_VIRTUAL_ALARM_TIME
BF397E5F-707B-4C5B-B34E-342AFDD45D05,20402-9,10324,DSC link error (DSC <=> CCU),NULL,W,Y,DSC link error (DSC <=> CCU),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,20403-9,10325,DSC link error (DSC <=> DLU),NULL,W,Y,DSC link error (DSC <=> DLU),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,21811-3,10326,Sensor Supply 1 Ckt Failed High (Parent),NULL,W,Y,Sensor Supply 1 Ckt Failed High (Parent),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,21811-4,10327,Sensor Supply 1 Ckt Failed Low (Parent),NULL,W,Y,Sensor Supply 1 Ckt Failed Low (Parent),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,21812-3,10328,Sensor Supply 2 Ckt Failed High (Parent),NULL,W,Y,Sensor Supply 2 Ckt Failed High (Parent),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,21812-4,10329,Sensor Supply 2 Ckt Failed Low (Parent),NULL,W,Y,Sensor Supply 2 Ckt Failed Low (Parent),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,21813-4,10330,Sensor Supply 3 Ckt Failed Low (Parent),NULL,W,Y,Sensor Supply 3 Ckt Failed Low (Parent),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,21817-16,10331,High Battery Voltage (Parent),NULL,W,Y,High Battery Voltage (Parent),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,21817-18,10332,Low Battery Voltage (Parent),NULL,W,Y,Low Battery Voltage (Parent),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
BF397E5F-707B-4C5B-B34E-342AFDD45D05,21820-3,10333,Sensor Supply 4 Ckt Above Normal (Parent),NULL,W,Y,Sensor Supply 4 Ckt Above Normal (Parent),NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,1,1,0,NULL,NULL,NULL,NULL
